state,state,Hillary Clinton,percentage1,percentage2,Donald Trump
GA,GA,Hillary Clinton,46,51,Donald Trump
IN,IN,Hillary Clinton,38,57,Donald Trump
KY,KY,Hillary Clinton,33,63,Donald Trump
SC,SC,Hillary Clinton,41,55,Donald Trump
VA,VA,Hillary Clinton,50,45,Donald Trump
VT,VT,Hillary Clinton,61,33,Donald Trump
NC,NC,Hillary Clinton,47,51,Donald Trump
OH,OH,Hillary Clinton,44,52,Donald Trump
WV,WV,Hillary Clinton,26,69,Donald Trump
AL,AL,Hillary Clinton,35,63,Donald Trump
CT,CT,Hillary Clinton,54,41,Donald Trump
DC,DC,Hillary Clinton,93,4,Donald Trump
DE,DE,Hillary Clinton,53,42,Donald Trump
FL,FL,Hillary Clinton,48,49,Donald Trump
IL,IL,Hillary Clinton,55,39,Donald Trump
MA,MA,Hillary Clinton,61,34,Donald Trump
MD,MD,Hillary Clinton,61,35,Donald Trump
ME,ME,Hillary Clinton,48,45,Donald Trump
ME-1,ME-1,Hillary Clinton,54,39,Donald Trump
ME-2,ME-2,Hillary Clinton,41,52,Donald Trump
MO,MO,Hillary Clinton,38,57,Donald Trump
MS,MS,Hillary Clinton,40,58,Donald Trump
NH,NH,Hillary Clinton,48,47,Donald Trump
NJ,NJ,Hillary Clinton,55,42,Donald Trump
OK,OK,Hillary Clinton,29,65,Donald Trump
PA,PA,Hillary Clinton,48,49,Donald Trump
RI,RI,Hillary Clinton,55,40,Donald Trump
TN,TN,Hillary Clinton,35,61,Donald Trump
AR,AR,Hillary Clinton,34,60,Donald Trump
AZ,AZ,Hillary Clinton,45,50,Donald Trump
CO,CO,Hillary Clinton,47,44,Donald Trump
KS,KS,Hillary Clinton,36,57,Donald Trump
LA,LA,Hillary Clinton,38,58,Donald Trump
MI,MI,Hillary Clinton,47,48,Donald Trump
MN,MN,Hillary Clinton,47,45,Donald Trump
ND,ND,Hillary Clinton,28,64,Donald Trump
NE,NE,Hillary Clinton,34,60,Donald Trump
NE-1,NE-1,Hillary Clinton,36,58,Donald Trump
NE-2,NE-2,Hillary Clinton,45,49,Donald Trump
NE-3,NE-3,Hillary Clinton,20,75,Donald Trump
NM,NM,Hillary Clinton,48,40,Donald Trump
NY,NY,Hillary Clinton,59,37,Donald Trump
SD,SD,Hillary Clinton,32,62,Donald Trump
TX,TX,Hillary Clinton,43,53,Donald Trump
WI,WI,Hillary Clinton,47,48,Donald Trump
WY,WY,Hillary Clinton,22,70,Donald Trump
IA,IA,Hillary Clinton,42,52,Donald Trump
MT,MT,Hillary Clinton,36,57,Donald Trump
NV,NV,Hillary Clinton,48,46,Donald Trump
UT,UT,Hillary Clinton,28,46,Donald Trump
CA,CA,Hillary Clinton,62,33,Donald Trump
HI,HI,Hillary Clinton,62,30,Donald Trump
ID,ID,Hillary Clinton,28,59,Donald Trump
OR,OR,Hillary Clinton,52,41,Donald Trump
WA,WA,Hillary Clinton,54,38,Donald Trump
AK,AK,Hillary Clinton,38,53,Donald Trump
